taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Unclassified	33.4204	8	8	0.788	4.4743	48.9438	50.4745	58.6746	70.1085	7.3838	8.8827	18.4211
Lentisphaera	20.7196	6	8	1.390	0.0000	0.0000	0.7118	7.8462	8.5813	15.4472	66.0652	67.1053
Candidatus Hepatoplasma	19.6913	8	8	1.198	75.6152	23.9693	18.2175	11.4411	8.2588	10.3992	1.7349	7.8947
Desulfuromusa	7.2117	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	57.6932	0.0000	0.0000
RS62 marine group	7.1676	5	8	1.120	4.0268	16.1840	18.1865	15.5361	3.4076	0.0000	0.0000	0.0000
Microscilla	2.4476	8	8	0.846	0.8949	1.2947	1.3101	1.0003	1.7807	2.0022	4.7189	6.5789
Candidatus Fritschea	2.0491	5	8	1.822	0.0000	1.2095	0.3095	0.0000	1.0333	2.8759	10.9646	0.0000
Subsaxibacter	1.2962	2	8	2.603	9.6197	0.7496	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lachnospiraceae UCG-006	0.7222	2	8	2.607	5.3691	0.4089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Simkania	0.4943	2	8	2.773	0.0000	0.0681	0.0000	0.0000	0.0000	0.0000	3.8862	0.0000
Verruc-01	0.4616	5	8	1.953	0.0000	0.0341	0.0000	0.1250	0.3444	0.5521	2.6371	0.0000
Aeromonas	0.4438	5	8	1.080	0.0000	1.3629	0.3610	0.8440	0.5276	0.4550	0.0000	0.0000
Algibacter	0.4232	1	8	NA	0.0000	0.0000	0.0000	0.0000	3.3856	0.0000	0.0000	0.0000
Cutibacterium	0.3109	6	8	1.115	0.0000	0.2044	0.1547	0.9065	0.0879	0.3701	0.7634	0.0000
Confluentibacter	0.2917	1	8	NA	0.0000	2.3339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Flavobacterium	0.2696	1	8	NA	0.0000	0.0000	0.0000	2.1569	0.0000	0.0000	0.0000	0.0000
Lachnospiraceae NK4A136 group	0.2192	1	8	NA	0.0000	0.0000	1.7537	0.0000	0.0000	0.0000	0.0000	0.0000
Rikenellaceae RC9 gut group	0.2149	2	8	1.938	0.0000	1.0903	0.6293	0.0000	0.0000	0.0000	0.0000	0.0000
Parabacteroides	0.2090	2	8	1.893	0.0000	0.6814	0.9903	0.0000	0.0000	0.0000	0.0000	0.0000
Aquibacter	0.1754	1	8	NA	0.0000	0.0000	1.4029	0.0000	0.0000	0.0000	0.0000	0.0000
Pseudoalteromonas	0.1659	4	8	1.543	0.0000	0.4259	0.6705	0.2188	0.0000	0.0121	0.0000	0.0000
OLB12	0.1631	5	8	1.006	0.0000	0.1193	0.2682	0.1563	0.4030	0.3580	0.0000	0.0000
Intestinimonas	0.1225	1	8	NA	0.0000	0.0000	0.9800	0.0000	0.0000	0.0000	0.0000	0.0000
Bizionia	0.1080	2	8	2.111	0.0000	0.0000	0.0000	0.0000	0.2272	0.6371	0.0000	0.0000
Simiduia	0.1072	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.8574	0.0000	0.0000	0.0000
Pseudomonas	0.1039	2	8	2.514	0.0000	0.0852	0.0000	0.0000	0.0000	0.7463	0.0000	0.0000
Lachnospiraceae FCS020 group	0.0928	1	8	NA	0.0000	0.0000	0.7427	0.0000	0.0000	0.0000	0.0000	0.0000
Tolumonas	0.0825	1	8	NA	0.0000	0.0000	0.6602	0.0000	0.0000	0.0000	0.0000	0.0000
SM1A02	0.0780	2	8	2.142	0.0000	0.0000	0.1547	0.4689	0.0000	0.0000	0.0000	0.0000
Hydrogenophaga	0.0759	2	8	2.133	0.0000	0.1533	0.4539	0.0000	0.0000	0.0000	0.0000	0.0000
Thalassotalea	0.0580	3	8	1.741	0.0000	0.0511	0.1341	0.0000	0.2785	0.0000	0.0000	0.0000
Colwellia	0.0476	3	8	2.117	0.0000	0.0000	0.0309	0.0000	0.0586	0.2912	0.0000	0.0000
Phaeobacter	0.0434	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3470	0.0000
Curvibacter	0.0413	1	8	NA	0.0000	0.0000	0.3301	0.0000	0.0000	0.0000	0.0000	0.0000
Pseudonocardia	0.0338	3	8	1.717	0.0000	0.1533	0.0928	0.0000	0.0000	0.0243	0.0000	0.0000
Nitratireductor	0.0326	2	8	1.857	0.0000	0.0000	0.0000	0.0000	0.1392	0.1213	0.0000	0.0000
OM60(NOR5) clade	0.0313	1	8	NA	0.0000	0.0000	0.0000	0.2501	0.0000	0.0000	0.0000	0.0000
Halioglobus	0.0272	3	8	1.613	0.0000	0.1193	0.0619	0.0000	0.0000	0.0364	0.0000	0.0000
Magnetospira	0.0271	1	8	NA	0.0000	0.0000	0.2166	0.0000	0.0000	0.0000	0.0000	0.0000
Lacinutrix	0.0256	1	8	NA	0.0000	0.2044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Plantibacter	0.0247	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1979	0.0000	0.0000	0.0000
Psychroserpens	0.0243	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1942	0.0000	0.0000
Phaeodactylibacter	0.0234	1	8	NA	0.0000	0.0000	0.0000	0.1876	0.0000	0.0000	0.0000	0.0000
Dechloromonas	0.0233	2	8	1.852	0.0000	0.0000	0.0928	0.0938	0.0000	0.0000	0.0000	0.0000
Microbacterium	0.0228	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1820	0.0000	0.0000
Vibrio	0.0227	2	8	1.927	0.0000	0.0681	0.1135	0.0000	0.0000	0.0000	0.0000	0.0000
Pseudohongiella	0.0219	1	8	NA	0.0000	0.0000	0.1754	0.0000	0.0000	0.0000	0.0000	0.0000
Nesterenkonia	0.0117	1	8	NA	0.0000	0.0000	0.0000	0.0938	0.0000	0.0000	0.0000	0.0000
Actinosynnema	0.0116	1	8	NA	0.0000	0.0000	0.0928	0.0000	0.0000	0.0000	0.0000	0.0000
Rhizobacter	0.0103	1	8	NA	0.0000	0.0000	0.0825	0.0000	0.0000	0.0000	0.0000	0.0000
Thiohalospira	0.0101	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0806	0.0000	0.0000	0.0000
Thiothrix	0.0083	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0667	0.0000	0.0000
Paenarthrobacter	0.0066	2	8	1.887	0.0000	0.0000	0.0309	0.0000	0.0220	0.0000	0.0000	0.0000
Mf105b01	0.0064	1	8	NA	0.0000	0.0000	0.0516	0.0000	0.0000	0.0000	0.0000	0.0000
Actibacterium	0.0064	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0513	0.0000	0.0000	0.0000
Limibaculum	0.0064	1	8	NA	0.0000	0.0511	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Candidatus Riegeria	0.0055	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0440	0.0000	0.0000	0.0000
Mariniflexile	0.0055	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0440	0.0000	0.0000	0.0000
Lutimaribacter	0.0053	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0425	0.0000	0.0000
Parahaliea	0.0046	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0366	0.0000	0.0000	0.0000
Aurantivirga	0.0046	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0364	0.0000	0.0000
Hoeflea	0.0046	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0364	0.0000	0.0000
Defluviimonas	0.0043	1	8	NA	0.0000	0.0341	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Afipia	0.0027	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0220	0.0000	0.0000	0.0000
Parasphingopyxis	0.0027	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0220	0.0000	0.0000	0.0000
Catenococcus	0.0026	1	8	NA	0.0000	0.0000	0.0206	0.0000	0.0000	0.0000	0.0000	0.0000
Cerasicoccus	0.0026	1	8	NA	0.0000	0.0000	0.0206	0.0000	0.0000	0.0000	0.0000	0.0000
Cognatiyoonia	0.0023	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0182	0.0000	0.0000
Ferruginibacter	0.0023	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0182	0.0000	0.0000
Arenitalea	0.0013	1	8	NA	0.0000	0.0000	0.0103	0.0000	0.0000	0.0000	0.0000	0.0000
Shewanella	0.0013	1	8	NA	0.0000	0.0000	0.0103	0.0000	0.0000	0.0000	0.0000	0.0000
