taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Unclassified	62.5466	8	8	0.184	77.9480	57.3836	55.1127	46.1951	54.2077	61.9834	70.5515	76.9912
Cyanobium PCC-6307	4.1622	5	8	1.361	0.0000	0.1200	3.0331	15.8470	7.6781	6.6190	0.0000	0.0000
Polynucleobacter	2.2502	6	8	1.352	0.0000	6.8843	7.2188	0.8601	1.9997	1.0074	0.0313	0.0000
Sediminibacterium	2.0235	8	8	0.550	3.5747	1.9731	0.9873	1.8013	0.8876	1.1739	1.9971	3.7927
Legionella	1.2679	7	8	0.428	0.0000	1.3682	1.5033	1.7608	1.1638	1.2942	1.5359	1.5171
Ferruginibacter	1.1086	8	8	0.318	1.1142	1.1858	0.9281	1.3054	0.5326	0.9697	1.0630	1.7699
Aeromonas	1.1049	5	8	0.931	0.0000	2.5060	1.4401	2.2364	1.7062	0.9503	0.0000	0.0000
CL500-29 marine group	1.0270	7	8	0.600	0.0000	1.1858	0.7629	1.3762	0.6781	0.9891	1.0748	2.1492
Mycobacterium	0.7693	7	8	0.531	0.0000	0.7057	1.2667	0.9006	0.3600	0.9162	0.9302	1.0746
Candidatus Renichlamydia	0.7312	4	8	1.510	0.0000	0.7777	0.7690	0.0000	0.0000	3.2360	1.0669	0.0000
FukuN18 freshwater group	0.6094	6	8	1.149	0.1857	0.0000	0.0224	0.0000	0.8581	0.7242	1.1256	1.9595
Candidatus Rhabdochlamydia	0.5936	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.7485	0.0000
Dinghuibacter	0.5552	7	8	0.956	1.5320	0.8497	0.3610	0.0000	0.3945	0.2418	0.0508	1.0114
Fimbriiglobus	0.5062	8	8	0.739	0.9285	0.2064	0.1448	0.7994	0.0764	0.3488	1.0396	0.5057
Peredibacter	0.4565	6	8	0.733	0.0000	0.6481	0.8791	0.0000	0.3575	0.4326	0.8285	0.5057
Pirellula	0.4503	7	8	1.061	1.3928	0.1536	0.1142	0.5060	0.0000	0.1130	0.4377	0.8850
IMCC26207	0.4148	5	8	1.058	0.0000	1.0178	0.5099	0.0000	0.0000	0.4545	0.2619	1.0746
Clostridium sensu stricto 1	0.4117	6	8	0.918	0.0000	0.4849	0.7282	0.0000	0.9567	0.7571	0.0508	0.3161
Terrimonas	0.3908	7	8	1.358	1.6713	0.2160	0.2407	0.1518	0.3575	0.1337	0.3556	0.0000
hgcI clade	0.3902	6	8	0.951	0.0000	0.6433	0.6140	1.0018	0.5671	0.2528	0.0430	0.0000
Ellin6067	0.3778	5	8	1.322	0.0000	0.8833	0.8363	1.1840	0.0641	0.0547	0.0000	0.0000
Gemmatimonas	0.3673	7	8	0.515	0.0000	0.3265	0.4630	0.5970	0.2737	0.3281	0.5706	0.3793
Epulopiscium	0.3552	4	8	1.185	0.0000	1.0130	0.8281	0.0000	0.6361	0.3646	0.0000	0.0000
SM1A02	0.3529	8	8	0.629	0.6964	0.2640	0.1611	0.0304	0.2959	0.3232	0.6097	0.4425
Haliscomenobacter	0.3269	7	8	0.467	0.0000	0.2208	0.3243	0.4250	0.4561	0.3986	0.3478	0.4425
Gemmata	0.2971	6	8	1.519	0.0000	0.0000	0.0714	0.3137	0.0197	0.1519	0.4924	1.3274
Rhodoferax	0.2970	4	8	1.655	0.0000	0.4273	0.4467	1.4167	0.0000	0.0851	0.0000	0.0000
Nocardia	0.2864	6	8	0.789	0.0000	0.5329	0.4569	0.5363	0.3551	0.3123	0.0977	0.0000
Ideonella	0.2763	4	8	2.271	0.0000	0.0192	0.1122	1.8114	0.0000	0.2673	0.0000	0.0000
Oligoflexus	0.2668	7	8	1.889	1.4856	0.0384	0.0347	0.0000	0.0247	0.0510	0.1837	0.3161
Flavobacterium	0.2656	5	8	0.968	0.0000	0.2736	0.4080	0.3643	0.7274	0.3512	0.0000	0.0000
Bryobacter	0.2592	6	8	0.961	0.0000	0.7537	0.2856	0.4149	0.3255	0.1653	0.1290	0.0000
Phormidium SAG 81.79	0.2478	1	8	NA	0.0000	0.0000	0.0000	0.0000	1.9824	0.0000	0.0000	0.0000
Haliangium	0.2419	5	8	1.727	0.0000	0.2400	0.1163	1.2346	0.3057	0.0389	0.0000	0.0000
Acidibacter	0.2401	4	8	2.692	0.0000	0.0288	0.0469	0.0000	1.8394	0.0061	0.0000	0.0000
Sarcina	0.2368	3	8	1.825	0.0000	0.0000	0.0000	0.0000	1.1515	0.6489	0.0938	0.0000
Zavarzinella	0.2360	5	8	2.080	1.4392	0.1584	0.0714	0.0000	0.0000	0.0474	0.1720	0.0000
Clostridium sensu stricto 9	0.2327	4	8	1.248	0.0000	0.2544	0.6690	0.6578	0.0000	0.2807	0.0000	0.0000
Longivirga	0.2273	5	8	0.919	0.0000	0.4801	0.3631	0.4453	0.3600	0.1701	0.0000	0.0000
Roseomonas	0.2159	4	8	1.373	0.0000	0.0000	0.4222	0.8096	0.3723	0.1227	0.0000	0.0000
Hydrogenophaga	0.2074	1	8	NA	0.0000	0.0000	0.0000	1.6596	0.0000	0.0000	0.0000	0.0000
AAP99	0.2020	5	8	1.222	0.0000	0.4849	0.3855	0.5970	0.1060	0.0425	0.0000	0.0000
Edaphobaculum	0.2011	6	8	0.797	0.0000	0.1584	0.2081	0.4756	0.3452	0.2297	0.1915	0.0000
Conexibacter	0.1867	4	8	1.402	0.0000	0.3072	0.7404	0.3137	0.0000	0.1325	0.0000	0.0000
Chthoniobacter	0.1806	5	8	1.295	0.0000	0.0000	0.0204	0.0000	0.2342	0.4739	0.5901	0.1264
JGI 0001001-H03	0.1768	7	8	2.254	1.1606	0.0816	0.0163	0.0304	0.0370	0.0182	0.0703	0.0000
Armatimonas	0.1722	6	8	1.913	0.9749	0.1728	0.0347	0.0708	0.0000	0.0267	0.0977	0.0000
Paeniclostridium	0.1713	3	8	2.779	0.0000	1.3490	0.0102	0.0000	0.0000	0.0109	0.0000	0.0000
Coprococcus	0.1688	1	8	NA	0.0000	0.0000	1.3503	0.0000	0.0000	0.0000	0.0000	0.0000
Lysobacter	0.1683	3	8	2.698	0.0000	1.2914	0.0428	0.0000	0.0000	0.0122	0.0000	0.0000
alphaI cluster	0.1627	3	8	2.194	0.0000	0.0000	0.0000	1.0322	0.1726	0.0972	0.0000	0.0000
Gaiella	0.1613	5	8	1.004	0.0000	0.4513	0.2896	0.2024	0.2120	0.1349	0.0000	0.0000
Romboutsia	0.1599	2	8	2.306	0.0000	0.0000	1.0505	0.0000	0.0000	0.2285	0.0000	0.0000
Telmatospirillum	0.1590	1	8	NA	0.0000	0.0000	0.0000	0.0000	1.2723	0.0000	0.0000	0.0000
Aquabacterium	0.1542	2	8	2.504	0.0000	0.0000	0.0000	1.1030	0.1307	0.0000	0.0000	0.0000
Terrisporobacter	0.1526	4	8	1.594	0.2321	0.2064	0.7058	0.0000	0.0000	0.0766	0.0000	0.0000
Lacunisphaera	0.1492	6	8	1.649	0.7428	0.1152	0.0122	0.0000	0.0764	0.1373	0.1094	0.0000
Emticicia	0.1488	6	8	1.438	0.6500	0.1584	0.0571	0.0405	0.1923	0.0924	0.0000	0.0000
Nitrospira	0.1485	7	8	0.554	0.0000	0.1632	0.1367	0.1518	0.1455	0.0875	0.2501	0.2528
Flavitalea	0.1480	3	8	1.904	0.0000	0.0000	0.0000	0.0000	0.7792	0.0571	0.3478	0.0000
Clostridium sensu stricto 11	0.1480	1	8	NA	0.0000	0.0000	0.0000	1.1840	0.0000	0.0000	0.0000	0.0000
Planctopirus	0.1464	6	8	1.042	0.4178	0.0864	0.0571	0.2226	0.0000	0.0826	0.3048	0.0000
Luteimonas	0.1443	1	8	NA	0.0000	0.0000	1.1545	0.0000	0.0000	0.0000	0.0000	0.0000
Blastocatella	0.1399	5	8	2.157	0.8821	0.0960	0.0000	0.0000	0.0395	0.0547	0.0469	0.0000
Tsukamurella	0.1358	2	8	2.368	0.0000	0.1680	0.0000	0.0000	0.0000	0.0000	0.9184	0.0000
Aurantimicrobium	0.1344	4	8	1.335	0.0000	0.0000	0.4243	0.0000	0.3427	0.2649	0.0430	0.0000
Leptothrix	0.1305	4	8	1.609	0.0000	0.6145	0.0000	0.1214	0.2047	0.1033	0.0000	0.0000
Phaselicystis	0.1237	5	8	1.904	0.0000	0.0000	0.1265	0.0000	0.0271	0.0510	0.0899	0.6953
Clostridium sensu stricto 2	0.1236	2	8	1.881	0.0000	0.4177	0.0000	0.0000	0.0000	0.5711	0.0000	0.0000
Potamolinea 1PC	0.1228	2	8	2.729	0.0000	0.0000	0.0306	0.0000	0.0000	0.9515	0.0000	0.0000
Blastopirellula	0.1227	4	8	1.617	0.4178	0.0576	0.0408	0.4655	0.0000	0.0000	0.0000	0.0000
Schlesneria	0.1213	5	8	1.205	0.2786	0.0000	0.0163	0.1518	0.0000	0.1410	0.3830	0.0000
Turicibacter	0.1211	4	8	1.507	0.0000	0.1536	0.2387	0.5161	0.0000	0.0608	0.0000	0.0000
Tolumonas	0.1196	1	8	NA	0.0000	0.0000	0.9567	0.0000	0.0000	0.0000	0.0000	0.0000
Ga0074140	0.1185	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9482
Candidatus Planktophila	0.1163	4	8	1.253	0.0000	0.3313	0.3304	0.0000	0.1036	0.1653	0.0000	0.0000
Methyloglobulus	0.1054	6	8	1.154	0.0000	0.1296	0.1020	0.0000	0.0444	0.0632	0.1251	0.3793
CL500-3	0.1033	5	8	1.044	0.0000	0.0000	0.0408	0.2024	0.0000	0.1118	0.2189	0.2528
Clostridium sensu stricto 12	0.1023	5	8	1.011	0.0000	0.2832	0.1632	0.0911	0.0962	0.1847	0.0000	0.0000
Tabrizicola	0.1013	2	8	2.753	0.0000	0.0192	0.0000	0.0000	0.7915	0.0000	0.0000	0.0000
Nocardioides	0.0976	4	8	2.089	0.0000	0.0000	0.0082	0.0000	0.0173	0.5796	0.1759	0.0000
Hyphomicrobium	0.0967	2	8	1.927	0.0000	0.0000	0.0000	0.0000	0.4833	0.2904	0.0000	0.0000
Pajaroellobacter	0.0931	5	8	1.119	0.0000	0.1968	0.1061	0.0000	0.0173	0.1628	0.2619	0.0000
Candidatus Methylopumilus	0.0921	5	8	1.003	0.0000	0.2256	0.1795	0.1821	0.0814	0.0680	0.0000	0.0000
Roseococcus	0.0831	5	8	1.102	0.0000	0.1488	0.1632	0.2429	0.0666	0.0437	0.0000	0.0000
Neochlamydia	0.0825	4	8	2.316	0.0000	0.0096	0.0163	0.0000	0.5498	0.0838	0.0000	0.0000
Aquisphaera	0.0824	4	8	2.170	0.0000	0.0000	0.0122	0.0607	0.0000	0.0668	0.5198	0.0000
Telmatocola	0.0821	4	8	1.735	0.0000	0.0000	0.0184	0.3643	0.0000	0.0243	0.2501	0.0000
Bacteriovorax	0.0820	5	8	1.133	0.0000	0.1584	0.1754	0.2327	0.0370	0.0523	0.0000	0.0000
Chiayiivirga	0.0812	1	8	NA	0.6500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Defluviimonas	0.0807	4	8	1.174	0.0000	0.0864	0.0000	0.2327	0.1627	0.1640	0.0000	0.0000
Rhodococcus	0.0802	3	8	1.934	0.0000	0.1488	0.0510	0.0000	0.0000	0.0000	0.4416	0.0000
Bacillus	0.0795	4	8	1.515	0.0000	0.0384	0.2346	0.3036	0.0000	0.0595	0.0000	0.0000
Pedomicrobium	0.0789	3	8	2.084	0.0000	0.0000	0.0082	0.0000	0.4611	0.1616	0.0000	0.0000
Rhodobacter	0.0781	3	8	1.789	0.0000	0.0240	0.0000	0.2530	0.0000	0.3475	0.0000	0.0000
Synechococcus MBIC10613	0.0774	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.6189	0.0000	0.0000	0.0000
Tundrisphaera	0.0758	4	8	1.503	0.0000	0.0000	0.0286	0.2631	0.0000	0.0644	0.2501	0.0000
SH-PL14	0.0734	2	8	2.665	0.5571	0.0000	0.0000	0.0304	0.0000	0.0000	0.0000	0.0000
Craurococcus-Caldovatus	0.0726	1	8	NA	0.0000	0.5809	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Silanimonas	0.0706	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.5646	0.0000	0.0000	0.0000
Limnohabitans	0.0693	3	8	1.551	0.0000	0.2160	0.2570	0.0000	0.0814	0.0000	0.0000	0.0000
Sva0996 marine group	0.0679	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5432	0.0000
Limnobacter	0.0674	4	8	1.469	0.0000	0.0960	0.2631	0.1619	0.0000	0.0182	0.0000	0.0000
Comamonas	0.0671	2	8	1.940	0.0000	0.3409	0.1958	0.0000	0.0000	0.0000	0.0000	0.0000
Proteiniclasticum	0.0669	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.5350	0.0000	0.0000	0.0000
Leptolyngbya SAG 2411	0.0645	3	8	1.773	0.0000	0.0768	0.0000	0.0000	0.1134	0.3257	0.0000	0.0000
Stenotrophobacter	0.0635	4	8	2.042	0.0000	0.0000	0.0000	0.0607	0.0222	0.0462	0.0000	0.3793
SH3-11	0.0618	3	8	2.011	0.0000	0.0000	0.0000	0.0000	0.0592	0.0753	0.3596	0.0000
DSSD61	0.0616	4	8	1.671	0.0000	0.1680	0.0367	0.2732	0.0000	0.0146	0.0000	0.0000
Methylibium	0.0614	2	8	2.012	0.0000	0.3361	0.1550	0.0000	0.0000	0.0000	0.0000	0.0000
Iamia	0.0605	4	8	1.816	0.0000	0.1008	0.3182	0.0000	0.0247	0.0401	0.0000	0.0000
Chthonomonas	0.0602	3	8	2.144	0.3714	0.0000	0.0000	0.0000	0.0000	0.0279	0.0821	0.0000
Rurimicrobium	0.0588	5	8	1.053	0.0000	0.0336	0.0694	0.0810	0.1652	0.0000	0.1212	0.0000
Clostridium sensu stricto 8	0.0584	3	8	1.793	0.0000	0.0000	0.1387	0.0000	0.2885	0.0401	0.0000	0.0000
Fonticella	0.0581	4	8	1.334	0.0000	0.1632	0.1387	0.1518	0.0000	0.0109	0.0000	0.0000
Litorilinea	0.0581	4	8	1.448	0.0000	0.0000	0.0143	0.2125	0.0000	0.0814	0.1563	0.0000
Lacibacter	0.0577	6	8	0.926	0.0000	0.0480	0.0714	0.1012	0.0444	0.0365	0.1602	0.0000
Clostridioides	0.0570	1	8	NA	0.0000	0.4561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Pelomonas	0.0543	4	8	1.521	0.0000	0.1776	0.0061	0.0000	0.1899	0.0608	0.0000	0.0000
Bradyrhizobium	0.0543	2	8	1.999	0.0000	0.0000	0.0000	0.2935	0.1405	0.0000	0.0000	0.0000
Undibacterium	0.0536	4	8	1.551	0.0000	0.0384	0.2366	0.0000	0.1085	0.0450	0.0000	0.0000
Gordonia	0.0521	2	8	2.651	0.0000	0.3937	0.0000	0.0000	0.0000	0.0000	0.0234	0.0000
Raineya	0.0512	6	8	1.643	0.0000	0.0096	0.0184	0.0000	0.0345	0.0316	0.0625	0.2528
Dechloromonas	0.0501	5	8	1.068	0.0000	0.0624	0.1469	0.0911	0.0764	0.0243	0.0000	0.0000
Aurantisolimonas	0.0492	5	8	1.312	0.0000	0.0528	0.0408	0.0708	0.0345	0.1944	0.0000	0.0000
Clostridium sensu stricto 3	0.0489	2	8	2.612	0.0000	0.0000	0.0000	0.3643	0.0271	0.0000	0.0000	0.0000
MIZ36	0.0486	2	8	2.268	0.0000	0.0000	0.0755	0.3137	0.0000	0.0000	0.0000	0.0000
Opitutus	0.0478	6	8	1.221	0.0000	0.0096	0.0163	0.1316	0.0271	0.0535	0.1446	0.0000
Paucibacter	0.0463	2	8	2.068	0.0000	0.1056	0.2652	0.0000	0.0000	0.0000	0.0000	0.0000
Salinibacterium	0.0462	1	8	NA	0.0000	0.3697	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Chalicogloea CCALA 975	0.0456	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.3649	0.0000	0.0000	0.0000
Sulfuritalea	0.0453	3	8	1.441	0.0000	0.1344	0.1469	0.0810	0.0000	0.0000	0.0000	0.0000
Candidatus Nostocoida	0.0448	2	8	2.050	0.0000	0.0000	0.0000	0.2530	0.0000	0.0000	0.1055	0.0000
Dongia	0.0435	4	8	1.254	0.0000	0.0000	0.0959	0.0000	0.0912	0.0279	0.1329	0.0000
Synechococcus CC9902	0.0435	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.3477	0.0000	0.0000	0.0000
Rhodocyclus	0.0420	3	8	1.970	0.0000	0.0000	0.0877	0.2327	0.0000	0.0158	0.0000	0.0000
Rubrivivax	0.0414	2	8	1.864	0.0000	0.1824	0.1489	0.0000	0.0000	0.0000	0.0000	0.0000
UTCFX1	0.0406	1	8	NA	0.3250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Galbitalea	0.0405	1	8	NA	0.0000	0.0000	0.0000	0.3238	0.0000	0.0000	0.0000	0.0000
Leptolyngbya ANT.L52.2	0.0402	2	8	1.917	0.0000	0.0000	0.0000	0.0000	0.1233	0.1981	0.0000	0.0000
Niastella	0.0395	2	8	2.003	0.0000	0.0000	0.0000	0.0000	0.2145	0.0000	0.1016	0.0000
Fictibacillus	0.0390	1	8	NA	0.0000	0.3120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Calothrix PCC-6303	0.0388	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.3107	0.0000	0.0000	0.0000
SWB02	0.0376	2	8	2.146	0.0000	0.0000	0.0000	0.0000	0.2268	0.0741	0.0000	0.0000
OLB12	0.0372	4	8	1.271	0.0000	0.0000	0.0510	0.0000	0.0321	0.1009	0.1133	0.0000
Puia	0.0368	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.2941	0.0000	0.0000
Pseudoflavitalea	0.0364	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.2909	0.0000	0.0000	0.0000
Leptolyngbya RV74	0.0358	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.2860	0.0000	0.0000	0.0000
Azohydromonas	0.0347	2	8	1.852	0.0000	0.1392	0.1387	0.0000	0.0000	0.0000	0.0000	0.0000
Rhizobacter	0.0344	1	8	NA	0.0000	0.0000	0.2754	0.0000	0.0000	0.0000	0.0000	0.0000
FFCH5858	0.0342	1	8	NA	0.0000	0.2736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JSC-12	0.0340	2	8	1.852	0.0000	0.0000	0.1367	0.0000	0.1356	0.0000	0.0000	0.0000
marine group	0.0336	2	8	2.742	0.0000	0.0000	0.0000	0.0000	0.2614	0.0073	0.0000	0.0000
