primer	region	amplicon	role	total_reads	contaminated_reads	pct_contaminated
926R	V5	V4V6	reverse	1756522	1752814	99.79
515F	V4	V4V6	forward	1756522	1752676	99.78
341F	~V3	V3V6	forward	1740588	1735664	99.72
926R	V5	V3V6	reverse	1740588	1735580	99.71
520R	V3	V1V3	reverse	1857	730	39.31
806R	~V4	V4	reverse	6845	1655	24.18
V7F	~V7	V7V8	forward	23643	4808	20.34
806R	~V4	V3V4	reverse	11723	2293	19.56
515F	V4	V4	forward	6845	1294	18.90
1048F	V7	V6V9	forward	1806	307	17.00
1048F	V7	V6V8	forward	20724	2938	14.18
341F	~V3	V3V4	forward	11723	1592	13.58
1389R	~V8	V5V8	reverse	17945	1771	9.87
967F	V6	V5V8	forward	17945	1525	8.50
1389R	~V8	V6V8	reverse	20724	1278	6.17
1492R	~V9	V6V9	reverse	1806	88	4.87
1389R	~V8	V7V8	reverse	23643	592	2.50
27F	V1	V1V3	forward	1857	0	0.00
