primer	region	amplicon	role	total_reads	contaminated_reads	pct_contaminated
1048F	V7	V6V9	forward	27906	26100	93.53
1048F	V7	V6V8	forward	293791	266235	90.62
926R	V5	V3V6	reverse	44744	38124	85.20
V7F	~V7	V7V8	forward	156026	132357	84.83
926R	V5	V4V6	reverse	70456	59579	84.56
520R	V3	V1V3	reverse	43227	36174	83.68
341F	~V3	V3V6	forward	44744	37300	83.36
515F	V4	V4V6	forward	70456	56973	80.86
1389R	~V8	V7V8	reverse	156026	122911	78.78
1389R	~V8	V6V8	reverse	293791	228775	77.87
27F	V1	V1V3	forward	43227	23675	54.77
1492R	~V9	V6V9	reverse	27906	10987	39.37
967F	V6	V5V8	forward	70363	23411	33.27
341F	~V3	V3V4	forward	27024	8596	31.81
1389R	~V8	V5V8	reverse	70363	21351	30.34
515F	V4	V4	forward	42370	11253	26.56
806R	~V4	V4	reverse	42370	7228	17.06
806R	~V4	V3V4	reverse	27024	3273	12.11
