family_or_fallback_bucket	reads	pct_of_unclassified_genus_bucket
Spirochaetaceae	16349	79.406
Unclassified Phylum (Kingdom: Bacteria only)	1816	8.820
Flavobacteriaceae	478	2.322
Comamonadaceae	468	2.273
Unclassified Order (Class: OM190)	317	1.540
Lentisphaeraceae	220	1.069
Ruminococcaceae	144	0.699
Simkaniaceae	131	0.636
Unclassified Family (Order: Puniceispirillales)	83	0.403
Muribaculaceae	73	0.355
Unclassified Family (Order: PB19)	72	0.350
Unclassified Family (Order: Kapabacteriales)	69	0.335
Unclassified Order (Class: BD2-11 terrestrial group)	64	0.311
KI89A clade	59	0.287
Caldilineaceae	48	0.233
Unclassified Family (Order: Kordiimonadales)	32	0.155
Unclassified Order (Class: bacteriap25)	19	0.092
Fimbriimonadaceae	19	0.092
Rhodobacteraceae	17	0.083
Unclassified Family (Order: Ga0077536)	15	0.073
Unclassified Order (Class: Alphaproteobacteria)	15	0.073
Oscillospiraceae	11	0.053
Microtrichaceae	7	0.034
OM182 clade	7	0.034
Thiomicrospiraceae	6	0.029
Microscillaceae	6	0.029
Desulfuromonadaceae	6	0.029
Kiloniellaceae	5	0.024
Rhodocyclaceae	5	0.024
Unclassified Family (Order: UASB-TL25)	5	0.024
Magnetospiraceae	5	0.024
Saprospiraceae	4	0.019
Lachnospiraceae	4	0.019
Micromonosporaceae	4	0.019
Gimesiaceae	2	0.010
Nocardioidaceae	2	0.010
PS1 clade	2	0.010
