family_or_fallback_bucket	reads	pct_of_unclassified_genus_bucket
Unclassified Family (Order: PLTA13)	18656	13.570
Terasakiellaceae	10984	7.990
Unclassified Family (Order: Cyanobacteriales)	8676	6.311
Leptospiraceae	8290	6.030
Unclassified Order (Class: Gammaproteobacteria)	6505	4.732
Methylacidiphilaceae	6456	4.696
Unclassified Family (Order: KF-JG30-C25)	6039	4.393
Elsteraceae	4747	3.453
Gemmataceae	4615	3.357
Acidithiobacillaceae	4269	3.105
Natranaerobiaceae	4211	3.063
Cytophagaceae	3457	2.515
Unclassified Family (Order: Gaiellales)	3413	2.483
Simkaniaceae	3031	2.205
NS11-12 marine group	2640	1.920
Microscillaceae	2521	1.834
Chitinophagaceae	1786	1.299
Pirellulaceae	1745	1.269
Comamonadaceae	1677	1.220
Unknown Family	1651	1.201
Unclassified Family (Order: 0319-6G20)	1300	0.946
Unclassified Family (Order: PeM15)	1196	0.870
Unclassified Family (Order: CCD24)	1153	0.839
Roseiflexaceae	1122	0.816
Saprospiraceae	935	0.680
Cyclobacteriaceae	880	0.640
Unclassified Family (Order: IMCC26256)	819	0.596
Unclassified Family (Order: HOC36)	715	0.520
Unclassified Family (Order: Planctomycetales)	709	0.516
SC-I-84	628	0.457
Unclassified Family (Order: Microtrichales)	611	0.444
FTLpost3	605	0.440
67-14	584	0.425
NS9 marine group	582	0.423
Unclassified Family (Order: Chitinophagales)	576	0.419
Fimbriimonadaceae	572	0.416
Unclassified Family (Order: Saccharimonadales)	571	0.415
env.OPS 17	547	0.398
Unclassified Family (Order: SBR1031)	528	0.384
Isosphaeraceae	500	0.364
Unclassified Order (Class: OM190)	472	0.343
Leptolyngbyaceae	466	0.339
B1-7BS	456	0.332
Rikenellaceae	438	0.319
A0839	404	0.294
Unclassified Family (Order: RBG-13-54-9)	367	0.267
Gemmatimonadaceae	363	0.264
Acetobacteraceae	357	0.260
Unclassified Family (Order: Cytophagales)	342	0.249
Clade III	341	0.248
Steroidobacteraceae	340	0.247
Microtrichaceae	340	0.247
Sporichthyaceae	333	0.242
Unclassified Family (Order: Chloroplast)	330	0.240
A4b	322	0.234
Nitrosomonadaceae	309	0.225
Unclassified Family (Order: Kapabacteriales)	308	0.224
Verrucomicrobiaceae	306	0.223
cvE6	305	0.222
Caldilineaceae	304	0.221
Oligoflexaceae	286	0.208
Pedosphaeraceae	270	0.196
Unclassified Family (Order: Paludibaculum)	259	0.188
Amoebophilaceae	242	0.176
Unclassified Family (Order: Frankiales)	239	0.174
Xanthomonadaceae	230	0.167
Spirosomaceae	221	0.161
Rhizobiales Incertae Sedis	211	0.153
Sutterellaceae	210	0.153
WD2101 soil group	200	0.145
Unclassified Family (Order: 11-24)	197	0.143
AKYH767	190	0.138
TRA3-20	188	0.137
Unclassified Order (Class: KD4-96)	185	0.135
Beggiatoaceae	183	0.133
Unclassified Family (Order: Rhodospirillales)	174	0.127
Parachlamydiaceae	164	0.119
Blattabacteriaceae	162	0.118
Ilumatobacteraceae	159	0.116
Erysipelotrichaceae	155	0.113
Anaerolineaceae	146	0.106
Unclassified Order (Class: Alphaproteobacteria)	145	0.105
Unclassified Family (Order: Candidatus Nomurabacteria)	142	0.103
Desulfatiglandaceae	140	0.102
Unclassified Family (Order: Vicinamibacterales)	128	0.093
JG30-KF-CM45	121	0.088
Xanthobacteraceae	121	0.088
Unclassified Family (Order: RD017)	115	0.084
Unclassified Class (Phylum: NB1-j)	111	0.081
Unclassified Class (Phylum: Desulfobacterota)	103	0.075
Synechococcaceae	102	0.074
Unclassified Order (Class: vadinHA49)	99	0.072
Magnetospirillaceae	98	0.071
Unclassified Class (Phylum: SAR324 clade(Marine group B))	93	0.068
Unclassified Family (Order: C0119)	93	0.068
Rhodobacteraceae	90	0.065
Unclassified Order (Class: Verrucomicrobiae)	88	0.064
Babeliaceae	87	0.063
Unclassified Family (Order: mle1-27)	87	0.063
Unclassified Order (Class: Planctomycetes)	85	0.062
Unclassified Family (Order: R7C24)	84	0.061
Unclassified Order (Class: Acidimicrobiia)	83	0.060
Chlamydiaceae	83	0.060
Propionibacteriaceae	79	0.057
Unclassified Family (Order: CCM19a)	75	0.055
Flavobacteriaceae	73	0.053
Vermiphilaceae	68	0.049
Deinococcaceae	66	0.048
Holosporaceae	66	0.048
Hydrogenophilaceae	65	0.047
Unclassified Order (Class: Parcubacteria)	62	0.045
Vicinamibacteraceae	62	0.045
Unclassified Family (Order: Babeliales)	60	0.044
Puniceicoccaceae	58	0.042
LWQ8	55	0.040
Rhizobiaceae	51	0.037
Anaplasmataceae	50	0.036
Unclassified Order (Class: MB-A2-108)	48	0.035
Unclassified Family (Order: Armatimonadales)	47	0.034
Unclassified Order (Class: TK10)	46	0.033
Rubinisphaeraceae	46	0.033
Fodinicurvataceae	45	0.033
Chloroflexaceae	45	0.033
Unclassified Class (Phylum: WPS-2)	44	0.032
Unclassified Family (Order: Izemoplasmatales)	44	0.032
Unclassified Family (Order: Candidatus Kaiserbacteria)	43	0.031
Unclassified Family (Order: Candidatus Levybacteria)	43	0.031
KI89A clade	43	0.031
Sandaracinaceae	43	0.031
SM2D12	41	0.030
Bacteroidetes vadinHA17	38	0.028
Unclassified Order (Class: SL56 marine group)	36	0.026
Unclassified Family (Order: SepB-3)	35	0.025
Unclassified Order (Class: Gracilibacteria)	34	0.025
Thermosynechococcaceae	34	0.025
Solirubrobacteraceae	33	0.024
Unclassified Family (Order: Micavibrionales)	32	0.023
Unclassified Family (Order: Defluviicoccales)	32	0.023
Moraxellaceae	31	0.023
Cyanobacteriales Incertae Sedis	31	0.023
Unclassified Order (Class: Lineage IIb)	30	0.022
Unclassified Family (Order: PAUC26f)	30	0.022
Tepidisphaeraceae	29	0.021
Unclassified Family (Order: Desulfobulbales)	29	0.021
Unclassified Order (Class: bacteriap25)	27	0.020
Diplorickettsiaceae	25	0.018
Unclassified Family (Order: Subgroup 17)	25	0.018
Unclassified Family (Order: WCHB1-41)	25	0.018
Unclassified Family (Order: Pseudomonadales)	24	0.017
Reyranellaceae	23	0.017
Lachnospiraceae	22	0.016
Silvanigrellaceae	22	0.016
DEV007	22	0.016
UBA12409	21	0.015
Unclassified Family (Order: OPB41)	20	0.015
Mitochondria	20	0.015
ST-12K33	20	0.015
Unclassified Phylum (Kingdom: Bacteria only)	19	0.014
BIrii41	19	0.014
Unclassified Family (Order: WD260)	19	0.014
Unclassified Family (Order: Flavobacteriales)	19	0.014
Rhodospirillaceae	19	0.014
Hyphomonadaceae	18	0.013
Unclassified Class (Phylum: RCP2-54)	18	0.013
Chroococcidiopsaceae	17	0.012
Unclassified Family (Order: Chthonomonadales)	16	0.012
Nostocaceae	16	0.012
Unclassified Class (Phylum: MBNT15)	16	0.012
Unclassified Family (Order: Caenarcaniphilales)	16	0.012
Unclassified Family (Order: Candidatus Daviesbacteria)	16	0.012
Peptococcaceae	15	0.011
Fokiniaceae	15	0.011
Frankiaceae	15	0.011
Schlesneriaceae	14	0.010
Unclassified Family (Order: Fimbriimonadales)	14	0.010
Barnesiellaceae	14	0.010
Unclassified Family (Order: Bacteroidetes VC2.1 Bac22)	14	0.010
Gallionellaceae	14	0.010
Helicobacteraceae	14	0.010
Unclassified Family (Order: Leptospirales)	13	0.009
Rickettsiaceae	13	0.009
Unclassified Family (Order: JG36-TzT-191)	13	0.009
Unclassified Class (Phylum: Latescibacterota)	13	0.009
Unclassified Family (Order: Subgroup 7)	13	0.009
Unclassified Order (Class: Subgroup 22)	13	0.009
MWH-CFBk5	13	0.009
Coxiellaceae	12	0.009
Beijerinckiaceae	12	0.009
Unclassified Family (Order: Elsterales)	12	0.009
WCHB1-02	12	0.009
Hungateiclostridiaceae	11	0.008
Phycisphaeraceae	11	0.008
Unclassified Order (Class: JG30-KF-CM66)	11	0.008
Anaeromyxobacteraceae	11	0.008
Ectothiorhodospiraceae	11	0.008
Unclassified Family (Order: Ardenticatenales)	11	0.008
MA-28-I98C	11	0.008
Unclassified Family (Order: Rickettsiales)	10	0.007
Lentimicrobiaceae	10	0.007
Holophagaceae	10	0.007
Raineyaceae	10	0.007
Unclassified Order (Class: Dojkabacteria)	10	0.007
Mariprofundaceae	10	0.007
Candidatus Jidaibacter	9	0.007
Nitrosococcaceae	9	0.007
Unclassified Family (Order: Ga0077536)	9	0.007
Rhodanobacteraceae	9	0.007
Clostridiaceae	9	0.007
Saccharospirillaceae	9	0.007
Chlamydiales Incertae Sedis	9	0.007
Unclassified Family (Order: Candidatus Campbellbacteria)	8	0.006
Serpentinicella	8	0.006
UCG-010	8	0.006
Unclassified Class (Phylum: Marinimicrobia (SAR406 clade))	7	0.005
SB-5	7	0.005
Hyphomicrobiaceae	7	0.005
Unclassified Family (Order: Elev-16S-1166)	7	0.005
Thermoanaerobaculaceae	7	0.005
Crocinitomicaceae	7	0.005
Unclassified Family (Order: Candidatus Woesebacteria)	7	0.005
Unclassified Family (Order: JGI 0000069-P22)	7	0.005
Anaerovoracaceae	6	0.004
[Eubacterium] coprostanoligenes group	6	0.004
Unclassified Family (Order: SM1A07)	6	0.004
Methyloligellaceae	6	0.004
Unclassified Class (Phylum: Proteobacteria)	6	0.004
Desulfocapsaceae	6	0.004
Unclassified Family (Order: JTB23)	5	0.004
Unclassified Family (Order: Puniceispirillales)	5	0.004
Chthoniobacteraceae	5	0.004
Unclassified Family (Order: SJA-28)	5	0.004
Longimicrobiaceae	5	0.004
Unclassified Order (Class: Campylobacteria)	5	0.004
Unclassified Family (Order: EC3)	5	0.004
Neisseriaceae	5	0.004
Terrimicrobiaceae	5	0.004
Unclassified Order (Class: Berkelbacteria)	4	0.003
37-13	4	0.003
Bacteroidaceae	4	0.003
Entotheonellaceae	4	0.003
Bdellovibrionaceae	4	0.003
Spirochaetaceae	4	0.003
Phormidiaceae	4	0.003
Unclassified Order (Class: Cyanobacteriia)	4	0.003
Paracaedibacteraceae	4	0.003
Unclassified Order (Class: Sericytochromatia)	4	0.003
LiUU-11-161	4	0.003
Nitrospiraceae	4	0.003
Thermoanaerobacteraceae	4	0.003
Fusobacteriaceae	4	0.003
Hymenobacteraceae	4	0.003
Unclassified Family (Order: GWA2-38-13b)	4	0.003
